ननु	nanu	adverb
नभस्वत्	nabhasvat	adverb
नम्रतया	namratayā	adverb
नहि	nahi	adverb
नाना	nānā	adverb
नाम	nāma	adverb
नि	ni	adverb
नितरम्	nitaram	adv.
नितराम्	nitarām	adverb
नित्यम्	nityam	adverb
निन्दकम्	nindakam	adverb
निपुणम्	nipuṇam	adverb
निभृतम्	nibhṛtam	adverb
नियतम्	niyatam	adverb
नियमितात्	niyamitāt	adv.
नियमेन	niyamena	adverb
निरन्तरम्	nirantaram	adverb
निरपराधम्	niraparādham	adverb
निरीक्ष्य	nirīkṣya	gerund
निरुद्वेगम्	nirudvegam	adverb
निर्दयम्	nirdayam	adverb
निर्बन्धेन	nirbandhena	adverb
निर्भरम्	nirbharam	adverb
निर्विघ्न	nirvighna	adverb
निर्व्यामोहम्	nirvyāmoham	adverb
निश्चितम्	niścitam	adverb
निश्चित्य	niścitya	gerund
निष्कपटम्	niṣkapaṭam	adverb
निष्कर्षितम्	niṣkarṣitam	adverb
निष्टुरम्	niṣṭuram	adverb
निःसङ्गः	niḥsaṅgaḥ	adverb
नीचैः	nīcaiḥ	adverb
नीरवम्	nīravam	adverb
नु	nu	adverb
नूनम्	nūnam	adverb
नूनम् खलु	nūnam khalu	adverb
नेद्	ned	adverb
नैकशस्	naikaśas	adv.
नैराश्यात्	nairāśyāt	adverb
नैव	naiva	adverb
नो	no	adverb
न्यक्	nyak	adverb
पक्षे	pakṣe	adverb
परमणु-	paramaṇu-	prefix
परमार्थतः	paramārthataḥ	adverb
परम्	param	conj.
परस्परम्	parasparam	adverb
परा	parā	adverb
पराक्	parāk	adverb
परि	pari	adverb
परिज्मन्	parijman	adverb
परिणामतः	pariṇāmataḥ	adverb
परितस्	paritas	adverb
परिमितम्	parimitam	adverb
परिशुद्धरूपेन	pariśuddharūpena	adverb
परुषम्	paruṣam	adverb
परे	pare	adverb
पर्याप्तरूपेण	paryāptarūpeṇa	adverb
पर्यायशस्	paryāyaśas	adverb
पादुकाहीनम्	pādukāhīnam	adverb
पापम्	pāpam	adverb
पापंविना	pāpaṃvinā	adverb
पारम्पर्येण	pāramparyeṇa	adverb
पार्श्वतस्	pārśvatas	adverb
पीडयित्वा	pīḍayitvā	gerund
पुनर्	punar	adverb
पुनः	punaḥ	adverb
पुरतः	purataḥ	adverb
पुरस्	puras	adverb
पुरस्तात्	purastāt	adverb
पूर्व	pūrva	prep.
पूर्वम्	pūrvam	adv.
पूर्वम्	pūrvam	adverb
पूर्ववत्	pūrvavat	adverb
पूर्वेद्युः	pūrvedyuḥ	adverb
पूर्व्यम्	pūrvyam	adverb
पृष्ठतस्	pṛṣṭhatas	adverb
प्र	pra	adverb
प्रकटम्	prakaṭam	adverb
प्रकाशम्	prakāśam	adverb
प्रकृत्या	prakṛtyā	adverb
प्रगाढम्	pragāḍham	adverb
प्रच्छन्नम्	pracchannam	adverb
प्रणतिपूर्व	praṇatipūrva	adverb
प्रति	prati	adverb
प्रति-	prati-	prefix
प्रति	prati	prep.
प्रतिकूलकारिन्	pratikūlakārin	adverb
प्रतिकूलम्	pratikūlam	adverb
प्रतिदिवसम्	pratidivasam	adverb
प्रतिनिशम्	pratiniśam	adverb
प्रतिपत्तिपूवकम्	pratipattipūvakam	adverb
प्रतिरात्रम्	pratirātram	adverb
प्रतीपम्	pratīpam	adverb
प्रत्यक्	pratyak	adverb
प्रत्यक्षतः	pratyakṣataḥ	adverb
प्रत्यक्षम्	pratyakṣam	adverb
प्रत्यक्षरूपेन	pratyakṣarūpena	adverb
प्रत्यहम्	pratyaham	adverb
प्रत्युत	pratyuta	adverb
प्रत्य्ग्रम्	pratygram	adverb
प्रथमतस्	prathamatas	adverb
प्रथमम्	prathamam	adverb
प्रधानतः	pradhānataḥ	adverb
प्रभृति	prabhṛti	prep.
प्रमुक्तकण्ठम्	pramuktakaṇṭham	adverb
प्रमुखे	pramukhe	adverb
प्रयत्नात्	prayatnāt	adverb
प्रयत्नेन	prayatnena	adverb
प्रवर्हम्	pravarham	adverb
प्रसङ्गतः	prasaṅgataḥ	adverb
प्रसङ्गेन	prasaṅgena	adverb
प्रसभम्	prasabham	adverb
प्रसम्भ	prasambha	adverb
प्रसह्य	prasahya	adverb
प्रसादः	prasādaḥ	adverb
प्राक्	prāk	adverb
प्राक्काले	prākkāle	adverb
प्राञ्जलि	prāñjali	adverb
प्रातः	prātaḥ	adverb
प्रादुर्	prādur	adverb
प्राप्तकाले	prāptakāle	adverb
प्राप्य	prāpya	gerund
प्रायशः	prāyaśaḥ	adverb
प्रायेण	prāyeṇa	adverb
प्रायः	prāyaḥ	adverb
प्रार्थनापूर्व	prārthanāpūrva	adverb
प्रियम्	priyam	adverb
प्रीत्या	prītyā	adverb
प्रेणा	preṇā	adverb
प्रेत्य	pretya	gerund
बलबत्	balabat	adverb
बलवत्	balavat	adverb
बलात्	balāt	adverb
बलेन	balena	adverb
बहिस्	bahis	adverb
बहुधा	bahudhā	adverb
बहुवारम्	bahuvāram	adverb
बहुशस्	bahuśas	adverb
बहुशः	bahuśaḥ	adverb
बाह्यतस्	bāhyatas	adverb
बोघपूर्वम्	boghapūrvam	adverb
भगवत्	bhagavat	adverb
भवतु	bhavatu	adverb
भित्त्वा	bhittvā	gerund
भूयस्	bhūyas	adverb
भूरी	bhūrī	adverb
भृशम्	bhṛśam	adverb
भेदतस्	bhedatas	adverb
भ्रान्त्वा	bhrāntvā	gerund
भ्रूक्षेपेण	bhrūkṣepeṇa	adverb
मतिपूर्वम्	matipūrvam	adverb
मधुरम्	madhuram	adverb
मध्यम्	madhyam	adverb
मन्दम्	mandam	adverb
मन्दस्वरेण	mandasvareṇa	adverb
मन्दं मन्दम्	mandaṃ mandam	adverb
मा	mā	adverb
माचिरस्	māciras	adverb
मितरेतरम्	mitaretaram	adverb
मितव्ययेन	mitavyayena	adverb
मित्रभावेन	mitrabhāvena	adverb
मिथत्या	mithatyā	adverb
मिथु	mithu	adverb
मिथः	mithaḥ	adverb
मुखेन	mukhena	prep.
मुख्यतस्	mukhyatas	adv.
मुख्यशः	mukhyaśaḥ	adverb
मुहुः	muhuḥ	adverb
मूढतया	mūḍhatayā	adverb
मूढवत्	mūḍhavat	adverb
मूर्खवत्	mūrkhavat	adverb
मूल्येन विना	mūlyena vinā	adverb
मृदु	mṛdu	adverb
मृषा	mṛṣā	adverb
मौर्ख्येण	maurkhyeṇa	adverb
यतस्	yatas	adverb
यत्नतः	yatnataḥ	adverb
यथा	yathā	adverb
यथा	yathā	conj.
