ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अकुला	akulā	f.	1st, 3rd, 5th, 7th, 9th, 11th and 13th days of a half-month  [ i.e., lunar month ]
अकुशल	akuśala	adj.	evil
अकुशल	akuśala	adj.	inauspicious
अकुशल	akuśala	adj.	not clever
अकुशल	akuśala	adj.	not well
अकुशल	akuśala	adj.	unhappy
अकुशल	akuśala	n.	demerit
अकुशल	akuśala	n.	evil word
अकुशल	akuśala	n.	sin
अकुष्ठिपृषत्	akuṣṭhipṛṣat	adj.	neither leprous nor spotted
अकुसीद	akusīda	adj.	taking no usury
अकुसुम	akusuma	adj.	flowerless
अकुह	akuha	m.	no deceiver
अकूजन	akūjana	adj.	not creaking
अकूजन	akūjana	n.	noiselessness
अकूजन	akūjana	n.	silence
अकूट	akūṭa	adj.	having no prominence on the forehead
अकूट	akūṭa	adj.	unerring
अकूपार	akūpāra	adj.	unbounded
अकूपार	akūpāra	m.	mythical tortoise that upholds the world
अकूपार	akūpāra	m.	ocean
अकूपार	akūpāra	m.	sea
अकूपार	akūpāra	m.	ṣun
अकूपार	akūpāra	m.	tortoise
अकूपारा	akūpārā	adj.	unbounded
अकूर्च	akūrca	m.	guileless one
अकूर्मपृषत्	akūrmapṛṣat	adj.	not spotted like a turtle
अकृत	akṛta	adj.	incomplete
अकृत	akṛta	adj.	not committed
अकृत	akṛta	adj.	not made
अकृत	akṛta	adj.	one who has done no works
अकृत	akṛta	adj.	uncreated
अकृत	akṛta	adj.	undone
अकृत	akṛta	adj.	unprepared
अकृत	akṛta	n.	act never before committed
अकृतज्ञ	akṛtajña	adj.	not acknowledging benefits
अकृतज्ञ	akṛtajña	adj.	ungrateful
अकृता	akṛtā	f.	sharer in the privileges of a son
अकृतात्मन्	akṛtātman	adj.	not yet identified with the supreme ṣpirit
अकृतात्मान	akṛtātmāna	m.	one without self realisation  [ ām.: realiśation ]
अकृतापराध	akṛtāparādha	adj.	innocent
अकृतार्थ	akṛtārtha	adj.	having one's object unaccomplished
अकृतार्थ	akṛtārtha	adj.	unsuccessful
अकृतित्व	akṛtitva	n.	unfitness for work
अकृत्त	akṛtta	adj.	uncut
अकृत्त	akṛtta	adj.	unimpaired
अकृत्तरुच्	akṛttaruc	adj.	possessing unimpaired splendour
अकृत्तिम	akṛttima	adj.	intrinsical
अकृत्य	akṛtya	adj.	criminal
अकृत्य	akṛtya	adj.	not to be done
अकृत्य	akṛtya	n.	anything that ought not to be done
अकृत्य	akṛtya	n.	crime
अकृत्य	akṛtya	n.	improper  [ criminal ]
अकृत्यकारिन्	akṛtyakārin	adj.	evil-doer
अकृत्रिम	akṛtrima	adj.	natural
अकृत्रिम	akṛtrima	adj.	not artificial
अकृत्स्न	akṛtsna	adj.	incomplete
अकृप	akṛpa	adj.	merciless
अकृप	akṛpa	adj.	unkind
अकृपण	akṛpaṇa	adj.	liberal
अकृपण	akṛpaṇa	adj.	not miserly
अकृमिपरिसृप्त	akṛmiparisṛpta	adj.	not crawled over by worms
अकृश	akṛśa	adj.	unimpaired
अकृशकीर्ति	akṛśakīrti	adj.	of undiminished glory
अकृषीवल	akṛṣīvala	adj.	not agricultural
अकृष्ट	akṛṣṭa	adj.	untilled
अकृष्ट	akṛṣṭa	m.	not prolonged or drawled
अकृष्टपच्य	akṛṣṭapacya	adj.	giving fruits without having been ploughed
अकृष्टपच्य	akṛṣṭapacya	adj.	growing wild
अकृष्टपच्य	akṛṣṭapacya	adj.	ripening in unploughed land
अकृष्ट-भूमि	akṛṣṭa-bhūmi	f.	uncultivated land
अकृष्णकर्मन्	akṛṣṇakarman	adj.	free from black deeds
अकृष्णकर्मन्	akṛṣṇakarman	adj.	guiltless
अकेतन	aketana	adj.	houseless
अकेतु	aketu	adj.	shapeless
